Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE401_Memory_Leak__int64_t_calloc_18_x86_64_O3.good,x86-64,ghidra,Success,6.83,728.22,135,194,2025
CWE401_Memory_Leak__int64_t_calloc_18_x86_64_O3.good,x86-64,angr,Success,.86,134.61,214,328,2824
CWE401_Memory_Leak__int64_t_calloc_18_x86_64_O3.good,x86-64,bap,Success,4.15,28.34,0,654,1589
CWE401_Memory_Leak__int64_t_calloc_18_x86_64_O3.good,x86-64,llvm,Success,.01,10.01,0,0,754
CWE366_Race_Condition_Within_Thread__global_int_09_mips_O3.good,MIPS,ghidra,Success,6.81,790.25,107,295,3854
CWE366_Race_Condition_Within_Thread__global_int_09_mips_O3.good,MIPS,angr,Success,1.11,134.01,105,318,4285
CWE366_Race_Condition_Within_Thread__global_int_09_mips_O3.good,MIPS,bap,Success,4.26,28.57,0,1328,1231
CWE366_Race_Condition_Within_Thread__global_int_09_mips_O3.good,MIPS,llvm,Success,.01,8.66,0,0,0
CWE401_Memory_Leak__malloc_realloc_char_09_armel_O1.bad,ARM,ghidra,Success,60.31,1063.11,1302,32111,736183
CWE401_Memory_Leak__malloc_realloc_char_09_armel_O1.bad,ARM,angr,Success,23.50,511.75,3645,33656,657723
CWE401_Memory_Leak__malloc_realloc_char_09_armel_O1.bad,ARM,bap,Success,51.81,28.56,0,123912,219697
CWE401_Memory_Leak__malloc_realloc_char_09_armel_O1.bad,ARM,llvm,Success,.01,8.80,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_15_x86_64_O1.bad,x86-64,ghidra,Success,9.85,829.24,133,229,2392
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_15_x86_64_O1.bad,x86-64,angr,Success,1.19,134.19,154,303,3508
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_15_x86_64_O1.bad,x86-64,bap,Success,4.89,28.13,0,742,1933
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_15_x86_64_O1.bad,x86-64,llvm,Success,.01,10.28,0,0,787
CWE401_Memory_Leak__int64_t_calloc_06_riscv64_O0.good,UCB RISC-V,ghidra,Success,8.32,708.81,134,236,2823
CWE401_Memory_Leak__int64_t_calloc_06_riscv64_O0.good,UCB RISC-V,angr,Failure - Crash,.70,112.91,0,0,0
CWE401_Memory_Leak__int64_t_calloc_06_riscv64_O0.good,UCB RISC-V,bap,Success,4.43,28.65,0,1226,1240
CWE401_Memory_Leak__int64_t_calloc_06_riscv64_O0.good,UCB RISC-V,llvm,Success,.01,8.40,0,0,0
